min_samples_leaf,max_depth,n_nodes,n_leaves,MSE,MAE,RMSE
5,2,7,4,3.220703233547259,1.298917974221299,1.794631782162363
5,3,15,8,3.0882475369819216,1.2766664776562167,1.7573410417394575
5,4,27,14,3.0081761958100492,1.262294866007642,1.7344094660171943
5,5,47,24,2.9148474096444654,1.2311165047901387,1.707292420660405
10,2,7,4,3.220703233547259,1.298917974221299,1.794631782162363
10,3,13,7,3.1565535479108835,1.2821309585305338,1.7766692286159749
10,4,25,13,3.0857665647287136,1.2743160646333123,1.7566350118134142
10,5,43,22,2.986877600265173,1.250470551893144,1.7282585455495867
20,2,7,4,3.3040611694089943,1.2970057882012958,1.8177076688535465
20,3,15,8,3.222320102572662,1.2883177012247602,1.7950821993916217
20,4,25,13,3.1775079728560365,1.2863995475177497,1.7825565833532568
20,5,37,19,3.1287447220309166,1.2735283357908302,1.7688258031900475
30,2,7,4,3.3040611694089943,1.2970057882012958,1.8177076688535465
30,3,13,7,3.258463602185886,1.2939733961405127,1.805121492361632
30,4,21,11,3.2377719207291498,1.294407797354452,1.7993809826518534
30,5,31,16,3.1859655348328473,1.2774812843671866,1.7849273192017785
